"id","name","data","created_at","updated_at"
"1","BURKINA FASO","101","2015-03-14 00:00:00","2015-03-14 00:00:00"
"2","ARGELIA","102","2015-03-14 00:00:00","2015-03-14 00:00:00"
"3","BOTSWANA","103","2015-03-14 00:00:00","2015-03-14 00:00:00"
"4","BURUNDI","104","2015-03-14 00:00:00","2015-03-14 00:00:00"
"5","CAMERUN","105","2015-03-14 00:00:00","2015-03-14 00:00:00"
"6","REPUBLICA CENTROAFRICANA","107","2015-03-14 00:00:00","2015-03-14 00:00:00"
"7","CONGO","108","2015-03-14 00:00:00","2015-03-14 00:00:00"
"8","ZAIRE","109","2015-03-14 00:00:00","2015-03-14 00:00:00"
"9","COSTA DE MARFIL","110","2015-03-14 00:00:00","2015-03-14 00:00:00"
"10","CHAD","111","2015-03-14 00:00:00","2015-03-14 00:00:00"
"11","BENIN","112","2015-03-14 00:00:00","2015-03-14 00:00:00"
"12","EGIPTO","113","2015-03-14 00:00:00","2015-03-14 00:00:00"
"13","GABON","115","2015-03-14 00:00:00","2015-03-14 00:00:00"
"14","GAMBIA","116","2015-03-14 00:00:00","2015-03-14 00:00:00"
"15","GHANA","117","2015-03-14 00:00:00","2015-03-14 00:00:00"
"16","GUINEA","118","2015-03-14 00:00:00","2015-03-14 00:00:00"
"17","GUINEA ECUATORIAL","119","2015-03-14 00:00:00","2015-03-14 00:00:00"
"18","KENYA","120","2015-03-14 00:00:00","2015-03-14 00:00:00"
"19","LESOTHO","121","2015-03-14 00:00:00","2015-03-14 00:00:00"
"20","LIBERIA","122","2015-03-14 00:00:00","2015-03-14 00:00:00"
"21","LIBIA","123","2015-03-14 00:00:00","2015-03-14 00:00:00"
"22","MADAGASCAR","124","2015-03-14 00:00:00","2015-03-14 00:00:00"
"23","MALAWI","125","2015-03-14 00:00:00","2015-03-14 00:00:00"
"24","MALI","126","2015-03-14 00:00:00","2015-03-14 00:00:00"
"25","MARRUECOS","127","2015-03-14 00:00:00","2015-03-14 00:00:00"
"26","MAURICIO","128","2015-03-14 00:00:00","2015-03-14 00:00:00"
"27","MAURITANIA","129","2015-03-14 00:00:00","2015-03-14 00:00:00"
"28","NIGER","130","2015-03-14 00:00:00","2015-03-14 00:00:00"
"29","NIGERIA","131","2015-03-14 00:00:00","2015-03-14 00:00:00"
"30","ZIMBABWE","132","2015-03-14 00:00:00","2015-03-14 00:00:00"
"31","RWANDA","133","2015-03-14 00:00:00","2015-03-14 00:00:00"
"32","SENEGAL","134","2015-03-14 00:00:00","2015-03-14 00:00:00"
"33","SIERRA LEONA","135","2015-03-14 00:00:00","2015-03-14 00:00:00"
"34","SOMALIA","136","2015-03-14 00:00:00","2015-03-14 00:00:00"
"35","SWAZILANDIA","137","2015-03-14 00:00:00","2015-03-14 00:00:00"
"36","SUDAN","138","2015-03-14 00:00:00","2015-03-14 00:00:00"
"37","TANZANIA","139","2015-03-14 00:00:00","2015-03-14 00:00:00"
"38","TOGO","140","2015-03-14 00:00:00","2015-03-14 00:00:00"
"39","TUNEZ","141","2015-03-14 00:00:00","2015-03-14 00:00:00"
"40","UGANDA","142","2015-03-14 00:00:00","2015-03-14 00:00:00"
"41","ZAMBIA","144","2015-03-14 00:00:00","2015-03-14 00:00:00"
"42","ANGOLA","149","2015-03-14 00:00:00","2015-03-14 00:00:00"
